ファイル名,作品名,作家名,訳者名
000005/53194_ruby_utf8_hatsukoi.txt,はつ恋,ツルゲーネフ イワン,神西清訳
000005/55215_ruby_utf8_roshiano_kotoba.txt,露西亞の言葉,ツルゲーネフ イワン,上田敏訳
000005/55216_ruby_utf8_asuwa_asuwa.txt,あすは、明日は、,ツルゲーネフ イワン,上田敏訳
000005/55217_ruby_utf8_isso.txt,一僧,ツルゲーネフ イワン,上田敏訳
000005/5_ruby_utf8_aibiki.txt,あいびき,ツルゲーネフ イワン,二葉亭四迷訳
000006/1868_ruby_utf8_shosetsu_soron.txt,小説総論,二葉亭 四迷,
000006/1869_ruby_utf8_ukigumo.txt,浮雲,二葉亭 四迷,
000006/3310_ruby_utf8_heibon.txt,平凡,二葉亭 四迷,
000006/3311_ruby_utf8_igonjyo_izoku_zengosaku.txt,遺言状・遺族善後策,二葉亭 四迷,
000006/382_ruby_utf8_watashiwa_kaigihada.txt,私は懐疑派だ,二葉亭 四迷,
000006/383_ruby_utf8_yoga_hanseino_zange.txt,予が半生の懺悔,二葉亭 四迷,
000006/384_ruby_utf8_yoga_honyakuno_hyojun.txt,余が翻訳の標準,二葉亭 四迷,
000006/4627_ruby_utf8_tabinikki.txt,旅日記 東海道線,二葉亭 四迷,
000006/46659_ruby_utf8_esperanto_no_hanashi.txt,エスペラントの話,二葉亭 四迷,
000006/47064_txt_utf8_shittosuru_ottono_shuki.txt,嫉妬する夫の手記,二葉亭 四迷,
000006/58810_ruby_utf8_mibojinto_jindo_mondai.txt,未亡人と人道問題,二葉亭 四迷,
000006/58819_ruby_utf8_roto_zakki.txt,露都雑記,二葉亭 四迷,
000006/901_ruby_utf8_yoga_genbunicchi.txt,余が言文一致の由來,二葉亭 四迷,
000008/1083_ruby_utf8_nishin_gyojo.txt,鰊漁場,島木 健作,
000008/18327_ruby_utf8_higashi_asahikawamura.txt,東旭川村にて,島木 健作,
000008/2688_ruby_utf8_kuroneko.txt,黒猫,島木 健作,
000008/407_ruby_utf8_jigabachi.txt,ジガ蜂,島木 健作,
000008/47357_ruby_utf8_seikatsuno_tankyu.txt,生活の探求,島木 健作,
000008/47361_ruby_utf8_ichikatei.txt,一過程,島木 健作,
000008/47374_ruby_utf8_daiichigino_michi.txt,第一義の道,島木 健作,
000008/47382_ruby_utf8_momoku.txt,盲目,島木 健作,
000008/47383_ruby_utf8_rai.txt,癩,島木 健作,
000008/47384_ruby_utf8_reimei.txt,黎明,島木 健作,
000008/47386_ruby_utf8_zoku_seikatsuno_tankyu.txt,續生活の探求,島木 健作,
000008/58922_txt_utf8_wasureenu_fukei.txt,忘れえぬ風景,島木 健作,
000008/697_ruby_utf8_rai.txt,癩,島木 健作,
000008/7_ruby_utf8_akagaeru.txt,赤蛙,島木 健作,
000009/42929_ruby_utf8_silve_blaze.txt,白銀の失踪 SILVER BLAZE,ドイル アーサー・コナン,三上於莵吉訳
000009/43028_ruby_utf8_the_yellow_face.txt,黄色な顔 THE YELLOW FACE,ドイル アーサー・コナン,三上於莵吉訳
000009/43056_ruby_utf8_the_lost_special.txt,臨時急行列車の紛失,ドイル アーサー・コナン,新青年編輯局訳
000009/43471_ruby_utf8_09hokkyokuseigono_sencho.txt,世界怪談名作集 北極星号の船長　医学生ジョン・マリスターレーの奇異なる日記よりの抜萃,ドイル アーサー・コナン,岡本綺堂訳
000009/43497_ruby_utf8_the_stockbrokers_clerk.txt,株式仲買店々員,ドイル アーサー・コナン,三上於莵吉訳
000009/43498_ruby_utf8_the_gloria_scott.txt,グロリア・スコット号,ドイル アーサー・コナン,三上於莵吉訳
000009/43522_ruby_utf8_the_empty_house.txt,空家の冒険,ドイル アーサー・コナン,三上於莵吉訳
000009/43523_ruby_utf8_the_adventure.txt,自転車嬢の危難,ドイル アーサー・コナン,三上於莵吉訳
000009/43524_ruby_utf8_the_resident_patient.txt,入院患者,ドイル アーサー・コナン,三上於莵吉訳
000009/45340_ruby_utf8_ango_butojinno_nazo.txt,暗号舞踏人の謎,ドイル アーサー・コナン,三上於莵吉訳
000011/450_txt_utf8_kashuhyo.txt,夏秋表,立原 道造,
000011/55300_ruby_utf8_hakushi.txt,白紙,立原 道造,
000011/55301_txt_utf8_yoruni_tsuite.txt,夜に就て,立原 道造,
000011/889_ruby_utf8_wasuregusani_yosu.txt,萱草に寄す,立原 道造,
000011/899_ruby_utf8_yasashiki_uta.txt,優しき歌　Ⅰ・Ⅱ,立原 道造,
