・000006\1868_ruby_shosetsu_soron.txt(15,6): ※［＃小書き片仮名ン、237-11］
・000006\1868_ruby_shosetsu_soron.txt(26,141): ※［＃小書き片仮名ン、237-11］
・000006\1869_ruby_ukigumo.txt(78,11): ※［＃「参らせ候」のくずし字、13-8］
・000006\1869_ruby_ukigumo.txt(78,94): ※［＃「参らせ候」のくずし字、13-9］
・000006\1869_ruby_ukigumo.txt(78,221): ※［＃「参らせ候」のくずし字、13-11］
・000006\1869_ruby_ukigumo.txt(78,264): ※［＃「参らせ候」のくずし字、13-12］
・000006\1869_ruby_ukigumo.txt(89,151): ※［＃「赤＋報のつくり」、22-13］
・000006\1869_ruby_ukigumo.txt(278,22): ※［＃「赤＋報のつくり」、50-8］
・000006\1869_ruby_ukigumo.txt(438,48): ※［＃「赤＋報のつくり」、74-9］
・000006\1869_ruby_ukigumo.txt(536,210): ※［＃「赤＋報のつくり」、87-7］
・000006\1869_ruby_ukigumo.txt(634,65): ※［＃「赤＋報のつくり」、96-9］
・000006\1869_ruby_ukigumo.txt(687,150): ※［＃「参らせ候」のくずし字、103-14］
・000006\1869_ruby_ukigumo.txt(811,132): ※［＃「赤＋報のつくり」、117-7］
・000006\1869_ruby_ukigumo.txt(815,22): ※［＃「赤＋報のつくり」、117-12］
・000006\1869_ruby_ukigumo.txt(1249,7): ※［＃「赤＋報のつくり」、162-17］
・000006\1869_ruby_ukigumo.txt(1334,6): ※［＃白ゴマ点、169-10］
・000006\1869_ruby_ukigumo.txt(1403,149): ※［＃白ゴマ点、178-15］
・000006\1869_ruby_ukigumo.txt(1432,59): ※［＃白ゴマ点、181-17］
・000006\1869_ruby_ukigumo.txt(1483,266): ※［＃白ゴマ点、190-1］
・000006\1869_ruby_ukigumo.txt(1577,959): ※［＃白ゴマ点、199-16］
・000006\1869_ruby_ukigumo.txt(1577,1002): ※［＃白ゴマ点、199-17］
・000006\1869_ruby_ukigumo.txt(1578,303): ※［＃白ゴマ点、200-17］
・000006\1869_ruby_ukigumo.txt(1581,259): ※［＃白ゴマ点、202-5］
・000006\1869_ruby_ukigumo.txt(1584,408): ※［＃「赤＋報のつくり」、205-14］
・000006\1869_ruby_ukigumo.txt(1585,172): ※［＃白ゴマ点、206-14］
・000006\1869_ruby_ukigumo.txt(1593,80): ※［＃白ゴマ点、207-16］
・000006\1869_ruby_ukigumo.txt(1594,453): ※［＃白ゴマ点、209-6］
・000006\1869_ruby_ukigumo.txt(1595,325): ※［＃白ゴマ点、210-4］
・000006\1869_ruby_ukigumo.txt(1596,339): ※［＃白ゴマ点、210-12］
・000006\1869_ruby_ukigumo.txt(1597,186): ※［＃白ゴマ点、211-5］
・000006\1869_ruby_ukigumo.txt(1597,385): ※［＃白ゴマ点、211-9］
・000006\1869_ruby_ukigumo.txt(1597,486): ※［＃白ゴマ点、211-10］
・000006\1869_ruby_ukigumo.txt(1597,646): ※［＃白ゴマ点、211-13］
・000006\1869_ruby_ukigumo.txt(1597,924): ※［＃白ゴマ点、212-2］
・000006\1869_ruby_ukigumo.txt(1597,1109): ※［＃白ゴマ点、212-5］
・000006\1869_ruby_ukigumo.txt(1602,27): ※［＃白ゴマ点、213-9］
・000006\1869_ruby_ukigumo.txt(1602,805): ※［＃白ゴマ点、214-8］
・000006\1869_ruby_ukigumo.txt(1602,830): ※［＃白ゴマ点、214-8］
・000006\1869_ruby_ukigumo.txt(1602,908): ※［＃白ゴマ点、214-10］
・000006\1869_ruby_ukigumo.txt(1603,257): ※［＃白ゴマ点、215-2］
・000006\1869_ruby_ukigumo.txt(1605,327): ※［＃「赤＋報のつくり」、216-13］
・000006\46659_ruby_esperanto_no_hanashi.txt(15,9): ※［＃小書き片仮名ヰ、377-上-13］
・000006\46659_ruby_esperanto_no_hanashi.txt(23,1060): ※［＃小書き片仮名ヰ、377-上-13］
・000006\58819_ruby_roto_zakki.txt(15,4): ※［＃小書き片仮名ヰ、387-上-3］
・000006\58819_ruby_roto_zakki.txt(24,7): ※［＃小書き片仮名ヰ、387-上-3］
・000006\58819_ruby_roto_zakki.txt(46,7): ※［＃小書き片仮名ヰ、388-上-11］
・000008\47357_ruby_seikatsuno_tankyu.txt(1589,39): ※［＃「卓＋戈」、U+39B8］
・000008\47386_ruby_zoku_seikatsuno_tankyu.txt(1839,40): ※［＃「纏」の「广」に代えて「厂」、U＋2C609、361-上-10］
・000008\47386_ruby_zoku_seikatsuno_tankyu.txt(2377,64): ※［＃「纏」の「广」に代えて「厂」、U＋2C609、413-上-16］
