git-mv  51868_ruby_04homei_gobusaku_dankyo .txt		 51868_ruby_04homei_gobusaku_dankyo.txt		
git-mv  45301_ruby_lamp_no_tayori .txt	 45301_ruby_lamp_no_tayori.txt	
git-mv  51135_ruby_kenüfekito_nimotsu_kensa.txt	 51135_ruby_ken’ekito_nimotsu_kensa.txt	
git-mv  45405_ruby_yabuno_hotori .txt	 45405_ruby_yabuno_hotori.txt	
git-mv  50382_ruby_kugatsu_juyokkano_asa .txt	 50382_ruby_kugatsu_juyokkano_asa.txt	
git-mv  48280_ruby_gakumonwa_engenüfo_fukaku_suruni_aruno_ron.txt	 48280_ruby_gakumonwa_engen’o_fukaku_suruni_aruno_ron.txt	
git-mv  51496_ruby_aoi_tamato_ginfirono_fue.txt	 51496_ruby_aoi_tamato_gin’irono_fue.txt	
git-mv  50371_ruby_meijino_gojussen_ginka .txt	 50371_ruby_meijino_gojussen_ginka.txt	
git-mv  46901_ruby_oboegaki .txt	 46901_ruby_oboegaki.txt	
git-mv  46901_ruby_oboegaki .txt	 46901_ruby_oboegaki.txt	
git-mv  46901_ruby_utf8_oboegaki .txt	 46901_ruby_utf8_oboegaki.txt	
git-mv  50371_ruby_meijino_gojussen_ginka .txt	 50371_ruby_meijino_gojussen_ginka.txt	
git-mv  50371_ruby_utf8_meijino_gojussen_ginka .txt	 50371_ruby_utf8_meijino_gojussen_ginka.txt	
git-mv  47251_ruby_gozon_yotabanashi.txt	 47251_ruby_gozonji_yotabanashi.txt	
git-mv  47251_ruby_utf8_gozon_yotabanashi.txt	 47251_ruby_utf8_gozonji_yotabanashi.txt	
git-mv  531_ruby_ayakashino_tuzumi.txt	 531_ruby_ayakashino_tsuzumi.txt	2019/04/02
git-mv  531_ruby_utf8_ayakashino_tuzumi.txt	 531_ruby_utf8_ayakashino_tsuzumi.txt	2019/04/28
git-mv	50686_ruby_shokudoraku_akino_maki.txt	50686_ruby_kuidoraku_akino_maki.txt	2019/07/25
git-mv	58951_ruby_iaishu03_atogaki.txt	58951_ruby_03_atogaki_iaishu.txt	2019/11/02
git-mv	1668_ruby_inakakyoshi.txt	1668_ruby_inaka_kyoshi.txt	2019/11/24
git-mv	206_ruby_chiisakimonoe.txt	206_ruby_chiisaki_monoe.txt	2019/11/27
git-mv	49636_ruby_katsushikamiyage.txt	49636_ruby_katsushika_miyage.txt	2019/12/13
git-mv	49658_ruby_hiyorigeta.txt	49658_ruby_hiyori_geta.txt	2019/12/14
git-mv	49658_ruby_hiyori_geta.txt	49658_ruby_hiyorigeta.txt	2019/12/15
git-mv	42909_ruby_watasiwa_umio_dakishimete.txt	42909_ruby_watashiwa_umio_dakishimete_itai.txt	2019/12/27
git-mv	3217_txt_sekai_shin_chitsujo_kyu.txt	3217_txt_sekai_shin_chitsujono_genri.txt	2019/12/28
git-mv	3668_txt_sekai_shin_chitsujo_shin.txt	3668_txt_sekai_shin_chitsujono_genri-2.txt	2019/12/28
git-mv	45506_ruby_jihishincho.txt	45506_txt_jihi_shincho.txt	2019/12/28
git-mv	45506_txt_jihi_shincho.txt	45506_ruby_jihi_shincho.txt	2019/12/30
git-mv	49674_ruby_rekisenshoyoki.txt	49674_ruby_rekisen_shoyoki.txt	2019/12/30
git-mv	49658_ruby_hiyorigeta.txt	49658_ruby_hiyori_geta.txt	2020/01/08
git-mv	45491_ruby_fukamifujinno_shi.txt	45491_ruby_fukami_fujinno_shi.txt	2020/01/22
git-mv	58935_ruby_korogarijiai.txt	58935_ruby_judoto_kentono_korogari_jiai.txt	2020/05/04
git-mv	49643_ruby_shosetsusakuho.txt	49643_ruby_shosetsu_sakuho.txt	2021/02/05
git-mv	49646_ruby_jurokushichi.txt	49646_ruby_jurokushichino_koro.txt	2021/02/05
git-mv	3329_txt_gonotenaori.txt	3329_txt_gono_tenaori_hyo.txt	2021/08/22
git-mv	946_ruby_zennokenkyuu_ruby.txt	946_ruby_zenno_kenkyu.txt	2022/01/10
git-mv	1465_ruby_kanikosen.txt	1465_ruby_kani_kosen.txt	2022/01/24
git-mv	45492_ruby_yukionna.txt	45492_ruby_yuki_onna.txt	2022/01/24
